"","Accession","Hamming","Miyata"
"146","KU523255","6.62222222222222","11.2610222222222"
"147","MN968374","6.62888888888889","11.2815555555556"
"148","MN968375","6.62666666666667","11.2859777777778"
"149","MN968376","6.62666666666667","11.2859777777778"
"150","MN968377","6.62222222222222","11.2735777777778"
"151","MN968378","6.62222222222222","11.2735777777778"
"152","MN968379","6.62222222222222","11.2735777777778"
"153","MN968380","6.62222222222222","11.2735777777778"
"154","MN968381","6.62222222222222","11.2735777777778"
"155","MN968382","6.62222222222222","11.2735777777778"
"156","MN968383","6.62222222222222","11.2735777777778"
"157","MN968384","6.62222222222222","11.2735777777778"
"158","MN968385","6.62222222222222","11.2735777777778"
"159","MN968386","6.62222222222222","11.2735777777778"
"160","MN968387","6.62666666666667","11.2859777777778"
"161","MT891038","6.61555555555556","11.2507111111111"
"162","MW249020","6.61333333333333","11.2733333333333"
"163","MW249021","6.61555555555556","11.2507111111111"
"164","AB284509","6.59333333333333","11.2490666666667"
"165","AB284510","6.59333333333333","11.2490666666667"
"166","AB284511","6.59333333333333","11.2534222222222"
"167","AB284512","6.59333333333333","11.2490666666667"
"168","AB284513","6.59777777777778","11.2576"
"169","AB284514","6.59333333333333","11.2408"
"170","AB285215","6.59333333333333","11.2490666666667"
"171","EU853582","6.60444444444444","11.3124444444444"
"172","EU853584","6.60222222222222","11.2667111111111"
"173","EU853585","6.60222222222222","11.2667111111111"
"174","EU853586","6.6","11.2569777777778"
"175","EU853587","6.59777777777778","11.2653555555555"
"176","EU853588","6.59777777777778","11.2653555555555"
"177","EU853589","6.59777777777778","11.2653555555555"
"178","EU853590","6.6","11.2592222222222"
"179","HM179504","6.58666666666667","11.2450222222222"
"180","HM179505","6.59555555555556","11.2818888888889"
"181","HM179506","6.6","11.2638444444444"
"182","KF155002","6.60666666666667","11.3109333333333"
"183","KR534217","6.61111111111111","11.3160444444444"
"184","KR534218","6.61111111111111","11.3128"
"185","KR534219","6.60444444444444","11.2888888888889"
"186","KR534220","6.61111111111111","11.3128"
"187","KR534228","6.60444444444444","11.2886888888889"
"188","KR534229","6.60444444444444","11.3044"
"189","KR534230","6.60222222222222","11.2859111111111"
"190","KR534231","6.60444444444444","11.2886888888889"
"191","KR534233","6.60222222222222","11.3032"
"192","KR534238","6.60444444444444","11.2886888888889"
"193","KR534244","6.60444444444444","11.3011555555556"
"194","KR534247","6.60444444444444","11.3011555555556"
"195","KR534249","6.60444444444444","11.3011555555556"
"196","KR534250","6.60444444444444","11.3011555555556"
"197","KR534251","6.60444444444444","11.2888888888889"
"198","KR534252","6.60666666666667","11.3115555555556"
"199","KR534253","6.60444444444444","11.3011555555556"
"200","KR906734","6.60444444444444","11.2888888888889"
"201","KR906735","6.60666666666667","11.2979333333333"
"202","KR906736","6.60666666666667","11.2984"
"203","KR906739","6.59777777777778","11.2765333333333"
"204","KR906741","6.60444444444444","11.3019111111111"
"205","KR906742","6.60666666666667","11.3096888888889"
"206","KR906743","6.60444444444444","11.2886888888889"
"207","KR906744","6.59777777777778","11.2765333333333"
"208","KR906745","6.60444444444444","11.2915333333333"
"209","KR906746","6.59555555555556","11.2663111111111"
"210","KR906747","6.59555555555556","11.2663111111111"
"211","KR906748","6.59333333333333","11.2743111111111"
"212","KR906749","6.60444444444444","11.2892666666667"
"213","KR906750","6.60666666666667","11.3096888888889"
"214","KR906751","6.59777777777778","11.2597111111111"
"215","KR906752","6.59333333333333","11.2743111111111"
"216","KR906754","6.60666666666667","11.3096888888889"
"217","KR906755","6.60444444444444","11.3011555555556"
"218","KR906756","6.60444444444444","11.3032666666667"
"219","KR906757","6.60222222222222","11.2596444444444"
"220","KR906759","6.60666666666667","11.2942888888889"
