"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","clade","Accession"
"MN234043",-0.861409376481307,1.99062026895936,1.91494938193044,-0.788698609193136,0.316368878466765,-0.474478944572445,0.368816926217253,-0.148848685692677,-0.372024992238844,0.110817227657374,-0.0466112916418459,-0.0899069224874483,0.00957580287550867,-0.0729487705054395,0.0140004557060141,-0.0535961995760349,0.0328090926571627,0.0180661547737005,"Arctic A","MN234043"
"MN234046",-1.1542653116351,1.84929685915882,1.88789194385554,-0.765105361660191,0.375415411969759,-0.738522638033116,0.479900317466154,-0.295909964819796,-0.424111354789308,0.300958586378982,-0.131175251122809,0.000994161397790303,0.00644756662689115,-0.278709329898646,0.100872022207248,-0.632526028972901,-0.00958480004288224,-0.0913172462542413,"Arctic A","MN234046"
"MN234055",-0.861409376481307,1.99062026895936,1.91494938193044,-0.788698609193136,0.316368878466765,-0.474478944572445,0.368816926217253,-0.148848685692677,-0.372024992238844,0.110817227657374,-0.0466112916418459,-0.0899069224874483,0.00957580287550867,-0.0729487705054395,0.0140004557060141,-0.0535961995760349,0.0328090926571627,0.0180661547737005,"Arctic A","MN234055"
"MN384717",-0.656148042764392,1.49130852041188,2.13369538599055,-1.01005854663358,0.211643822606967,-0.661066758814883,-0.273934330597596,-0.43535586952464,-0.860956314147273,-0.0730262280815464,0.461676167690578,0.535581666433391,0.0990136162825802,-0.0557565087265486,-0.0114318704412364,-0.0468286877789323,0.178640833559689,0.0307575961750187,"Arctic A","MN384717"
"DQ666289",0.931949295456744,-1.0973050892292,-0.686043810742435,-0.0516805983501258,-5.01630606397565,-4.02002516206981,0.413970971405197,4.78518138818466,-1.50575852798979,0.575385424877285,0.554068953731134,0.187343557106027,0.571056031643548,1.95740400160161,-1.38254418572833,-0.885403131485104,-0.89912755888922,0.0335616076702265,"Asian SEA2a","DQ666289"
"DQ666290",1.56348501336167,-0.279483845746769,-0.14440771571634,-1.29338613280507,-0.355532451883818,-0.573404562436198,0.067255259166238,-0.312621722590119,0.849644627052786,-0.680925698323145,0.56930941033271,0.757014501858186,-1.01163275238198,-0.55457337919537,0.986754030562129,-0.647474166203999,0.0369465928058697,-0.231660287426461,"Asian SEA2a","DQ666290"
"DQ866105",0.183751245237367,-1.54173590271499,-1.51693911021383,-1.25469521640646,-0.0206014570980043,-1.10852548759196,1.18804308284423,-0.436826586355531,0.46968920738545,-1.42476216517986,0.355350017401967,-0.499747801116421,1.00018600538155,-0.521015229409348,0.191674258722896,0.439245099060219,-0.95596948086022,0.108768475825934,"Asian SEA2a","DQ866105"
"DQ866106",1.90581769162987,-0.865018756553972,-1.23223489702009,-0.642309911485684,-0.68082906980998,-1.0166334302285,-0.98581191554902,-1.1341603867622,0.297949071891377,0.0373101387085986,0.612156131962016,0.444639211316094,0.429854430628719,-0.626083566364191,-0.0721873008095608,-0.358682784871794,-0.284312327723216,0.014069045918065,"Asian SEA2a","DQ866106"
"DQ866108",1.65999385264988,-1.58286220798648,-1.09905668966785,-0.778485887117278,-0.328095135251513,-0.730364680425322,-0.21981613602613,-0.452738477881421,0.599488624331206,-0.321945781142829,0.958393517488828,0.340939095358241,-0.0370321287445713,-0.226420186213813,-0.869755622910804,-0.708888950990125,0.453601729211775,-0.0277856332126105,"Asian SEA2a","DQ866108"
"DQ866109",1.73811812827871,-0.499829359056418,-1.84338979212876,-0.852647001371918,3.23593052511658,-3.39212742592329,-2.78107000170644,1.50057524105792,0.824137404686364,-0.573287816345633,-0.217222299497404,-0.610358840263434,-0.314057882432672,-0.625684380954402,0.128152719361721,-0.171282805094099,0.279943041794196,0.00176749297618076,"Asian SEA2a","DQ866109"
"DQ866110",0.273824787191735,-1.48195432935925,-0.752447059330578,-0.595756866112161,0.0795936571891239,-1.13905222875956,1.00089075095798,-0.103519414871712,1.02859884157589,0.0277971962486989,0.566826483316384,-0.0906768318322004,0.55275024412088,-0.0988488527333103,-1.2053665365382,0.367115891285017,0.0661036513285117,-0.236934096286375,"Asian SEA2a","DQ866110"
