Clade,Host,Accession,Group
Bat LC,Hoary bat,AF351858,Bat
Bat LC,Hoary bat,AF394883,Bat
Bat LC,Hoary bat,AF394884,Bat
Bat LC,Hoary bat,GU644712,Bat
Bat LC,Hoary bat,GU644713,Bat
Bat LC,Hoary bat,GU644714,Bat
Bat LC,Hoary bat,GU644715,Bat
Bat LC,Hoary bat,GU644716,Bat
Bat LC,Hoary bat,GU644717,Bat
Bat LC,Hoary bat,GU644718,Bat
Bat LC,Hoary bat,GU644719,Bat
Bat LC,Hoary bat,GU644720,Bat
Bat LC,Hoary bat,GU644721,Bat
Bat LC,Hoary bat,JQ685947,Bat
Cosmo AM2a,Mongoose,AY854505,Carnivore
Cosmo AM2a,Mongoose,AY854525,Carnivore
Cosmo AM2a,Mongoose,AY854531,Carnivore
Cosmo AM2a,Mongoose,AY854544,Carnivore
Cosmo AM2a,Mongoose,AY854546,Carnivore
Cosmo AM2a,Mongoose,AY854558,Carnivore
Cosmo AM2a,Mongoose,AY854567,Carnivore
Cosmo AM2a,Mongoose,AY854573,Carnivore
Cosmo AM2a,Mongoose,AY854576,Carnivore
RAC-SK SCSK,Skunk,EU345002,Carnivore
RAC-SK SCSK,Skunk,EU345003,Carnivore
RAC-SK SCSK,Skunk,EU345004,Carnivore
RAC-SK SCSK,Skunk,JQ685938,Carnivore
RAC-SK SCSK,Skunk,JQ685968,Carnivore
RAC-SK SCSK,Skunk,MW055084,Carnivore
RAC-SK SCSK,Skunk,MW055085,Carnivore
RAC-SK SCSK,Skunk,MW055086,Carnivore
RAC-SK SCSK,Skunk,MW055087,Carnivore
Bat TB1,Free-tailed bat,AF351849,Bat
Bat TB1,Free-tailed bat,AF394876,Bat
Bat TB1,Free-tailed bat,GU644760,Bat
Bat TB1,Free-tailed bat,GU644761,Bat
Bat TB1,Free-tailed bat,GU644762,Bat
Bat TB1,Free-tailed bat,GU644763,Bat
Bat TB1,Free-tailed bat,GU644764,Bat
Bat TB1,Free-tailed bat,GU644765,Bat
Bat TB1,Free-tailed bat,GU644766,Bat
Bat TB1,Free-tailed bat,GU644767,Bat
Bat TB1,Free-tailed bat,GU644768,Bat
Bat TB1,Free-tailed bat,GU644769,Bat
Bat TB1,Free-tailed bat,GU644770,Bat
Bat TB1,Free-tailed bat,GU644771,Bat
Bat TB1,Free-tailed bat,GU644772,Bat
Bat TB1,Free-tailed bat,GU644773,Bat
Bat TB1,Free-tailed bat,GU644774,Bat
Bat TB1,Free-tailed bat,GU644775,Bat
Bat TB1,Free-tailed bat,GU644776,Bat
Bat TB1,Free-tailed bat,GU644777,Bat
Bat TB1,Free-tailed bat,GU644778,Bat
Bat TB1,Free-tailed bat,GU644779,Bat
Bat TB1,Free-tailed bat,GU644780,Bat
Bat TB1,Free-tailed bat,GU644781,Bat
Bat TB1,Free-tailed bat,GU644782,Bat
Bat TB1,Free-tailed bat,GU644783,Bat
Bat TB1,Free-tailed bat,GU644784,Bat
Bat TB1,Free-tailed bat,GU644785,Bat
Bat TB1,Free-tailed bat,GU644786,Bat
Bat TB1,Free-tailed bat,GU644787,Bat
Bat TB1,Free-tailed bat,GU644788,Bat
Bat TB1,Free-tailed bat,JQ685905,Bat
Bat EF-E2,Big brown bat,AF351828,Bat
Bat EF-E2,Big brown bat,AF351831,Bat
Bat EF-E2,Big brown bat,AF351832,Bat
Bat EF-E2,Big brown bat,AF351833,Bat
Bat EF-E2,Big brown bat,AF351855,Bat
Bat EF-E2,Big brown bat,AF351861,Bat
Bat EF-E2,Big brown bat,AF351862,Bat
Bat EF-E2,Big brown bat,AY039227,Bat
Bat EF-E2,Big brown bat,AY039228,Bat
Bat EF-E2,Big brown bat,AY039229,Bat
